Time,Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023),Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023) North Cyclist,Charleville Mall (Unable to Reinstall Repaired Counter due to Roadworks 23.08.2023) South Cyclist,Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist West,Clontarf - James Larkin Rd Cyclist East,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist West,Clontarf - Pebble Beach Carpark Cyclist East,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist West,Drumcondra Cyclists Inbound (Not On Site - Roadworks) Cyclist East,Drumcondra Cyclists Outbound (Not On Site - Roadworks),Drumcondra Cyclists Outbound (Not On Site - Roadworks) Cyclist East,Drumcondra Cyclists Outbound (Not On Site - Roadworks) Cyclist West,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist South,Griffith Avenue (Clare Rd Side) Cyclist North,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist South,Griffith Avenue (Lane Side) Cyclist North,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B (Counter Removed for Roadworks) Cyclist,North Strand Rd S/B (Counter Removed for Roadworks) Cyclist,Richmond Street Inbound,Richmond Street Inbound Cyclist South,Richmond Street Inbound Cyclist North,Richmond Street Outbound,Richmond Street Outbound Cyclist North,Richmond Street Outbound Cyclist South
01/01/2023 00:00,1,0,1,1,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,,2,0,2,8,0,8
01/01/2023 01:00,0,0,0,6,4,2,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,13,9,4,0,,0,0,0,6,0,6
01/01/2023 02:00,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,9,4,5,0,,3,0,3,9,0,9
01/01/2023 03:00,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,12,7,5,0,,4,1,3,8,0,8
01/01/2023 04:00,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,2,0,0,0,0,17,13,4,0,,4,0,4,4,0,4
01/01/2023 05:00,2,1,1,3,1,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,3,0,3,9,0,9
01/01/2023 06:00,2,2,0,1,1,0,5,3,2,5,5,0,0,0,0,1,1,0,0,0,0,14,7,7,0,,7,0,7,3,0,3
01/01/2023 07:00,3,2,1,1,0,1,3,1,2,4,4,0,0,0,0,0,0,0,0,0,0,22,5,17,0,,2,0,2,4,0,4
01/01/2023 08:00,0,0,0,6,2,4,12,2,10,2,2,0,0,0,0,1,1,0,0,0,0,22,7,15,0,,7,0,7,8,1,7
01/01/2023 09:00,2,1,1,32,12,20,36,14,22,2,2,0,0,0,0,1,1,0,0,0,0,21,7,14,0,,16,0,16,7,0,7
01/01/2023 10:00,2,2,0,50,15,35,58,19,39,4,3,1,0,0,0,1,1,0,0,0,0,18,6,12,0,,11,0,11,12,0,12
01/01/2023 11:00,4,3,1,60,28,32,68,27,41,0,0,0,0,0,0,11,11,0,7,7,0,15,6,9,0,,18,0,18,10,0,10
01/01/2023 12:00,5,4,1,60,28,32,103,50,53,0,0,0,0,0,0,7,7,0,4,4,0,30,16,14,0,,24,0,24,19,0,19
01/01/2023 13:00,4,3,1,65,33,32,74,35,39,0,0,0,0,0,0,7,7,0,5,5,0,35,12,23,0,,21,0,21,21,0,21
01/01/2023 14:00,6,2,4,58,27,31,76,41,35,1,1,0,0,0,0,9,9,0,2,2,0,38,14,24,0,,24,0,24,16,0,16
01/01/2023 15:00,7,4,3,41,24,17,62,38,24,0,0,0,0,0,0,3,3,0,1,1,0,42,18,24,0,,36,1,35,27,0,27
